slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2017-18(BE),alias,unit,color,viz_type,notes
dept_of_school_education_and_literacy,Dept. of School Education and Literacy,45631,46856,45722,41800,43554,43896,46356,,Rs crore,#0e373e,simple_bar,
dept_of_higher_education,Dept. of Higher Education,20423,24465,23152,25439,28840,29703,33330,,Rs crore,#2aa5bb,simple_bar,
