slug_name,index_name,2012-13 A,2013-14 A,2014-15 A,2015-16 A,2016-17 BE,2016-17 RE,2017-18 BE,unit,color
allocations_for_sc_sub_plan,Allocations for Scheduled Caste Sub Plan,28219,34722,30035,30604,38833,40920,52383,Rs. Crore,#D0A825
allocations_for_social_justice_empowerment,Allocations for Department of Social Justice and Empowerment,4940,5515,5381,5753,6566,6569,6908,Rs. Crore,#26393D
