index_name,2012-13 (RE),2013-14 (RE),2014-15 (RE),2015-16 (RE),2016-17 (BE),2016-17 (RE),2017-18 (BE),color
Total Child Budget,67060.59,72496.21,69887.99,64635.09,65758.45,66248.62,71305.35,#FF9800
Total Union Budget,1410367,1665297,1663673,1785391,1978060,2014407,2146735,#263248
