slug_name,index_name,2012-13 ,2013-14 ,2014-15,2015-16 ,2016-17(BE),2016-17(RE),2017-18(BE),unit,color
internal_&_extra_budgetray_resources_(iebr),Internal & Extra Budgetray Resources (IEBR),1089,2966,3291,6113,9193,12301,8244,Rs. Crore,#1C344C
gross_budgetary_support_(gbs),Gross Budgetary Support (GBS),1089,383,502,92,100,100,50,Rs. Crore,#C6E070
