slug_name,index_name,2012-13,2013-14,2014-15,2015-16(RE),2016-17(BE)
share_of_expenditure_by_moa_in_gdp,Share of Expenditure by MoA in GDP,0.3,0.28,0.26,0.27,0.3
share_of_moa_in_total_union_govt._expenditure,Share of MoA in Total Union Govt. Expenditure,2.1,2.02,1.92,2.01,2.25
