slug_name,index_name,2012-13,2013-14,2014-15 ,2015-16,2016-17(BE),2016-17(RE),2017-18(BE),unit,color
total_expenditure,Total Expenditure,1410372,1559447,1663673,1790783,1978060,2014407,2146735,Rs crore,#2aa5bb
gdp_at_current_market_prices,GDP at Current Market Prices,9946636,11236635,12433749,13675331,15075429,15075429,16847455,Rs crore,#2aa5bb
total_union_government_expenditure_as_a_proportion_of_gdp,Total Union Government Expenditure as a Proportion of GDP,14.2,13.9,13.4,13.1,13.1,13.4,12.7,Percentage,#2aa5bb
