slug_name,index_name,2012-13,2013-14,2014-15 ,2015-16,2016-17(BE),2016-17(RE),2017-18(BE),unit,color
sca_to_tsp,Special Central Assistance to Tribal Sub Plan,853,1050,1040,1132,1250,1200,1350,Rs. Crore,#6ea63a
scheme_under_proviso_to_article_of_the_constitution,Scheme under proviso to Article 275(1) of the Constitution,820,1097,1133,1392,1400,1260,1500,Rs. Crore,#84C444
umbrella_scheme_for_development_of_st_vanbandhu_kalyan_yojana,Umbrella Scheme for Development of STs:Vanbandhu Kalyan Yojna,,112,100,629,505,472,505,Rs. Crore,#84C445
umbrella_scheme_for_education_of_st_children,Umbrella Scheme for Education of ST children,981,1213,1059,1221,1505,1740,1756,Rs. Crore,#84C446
