slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2017-18(BE),unit,color
national_adaptation_fund,National Adaptation Fund,,,,129,100,98,110,Rs. crore,#26393D
climate_change_action_plan,Climate Change Action Plan,,,,137,30,47,40,Rs. crore,#2aa5bb
