slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2017-18(BE),unit,color
national_mission_for_enhanced_energy_efficiency,National Mission For Enhanced Energy Efficiency,,,,54.82,100,50.62,50.54,Rs. crore,#e4af1b
national_water_mission,National Water Mission,,,,54.82,100,50.62,50.54,Rs. crore,#2aa5bb
national_mission_green_india,National Mission Green India,,,,209.47,155.01,143.45,157.8,Rs. crore,#6ea63a
national_mission_on_sustainable_agriculture,National Mission On Sustainable Agriculture,,,,432.71,772,729.5,825,Rs. crore,#26393D
