slug_name,index_name,2012-13,2013-14,2014-15 ,2015-16,2016-17(BE),2016-17(RE),2017-18(BE),unit,color
allocations_for_department_of_rural_development,Allocations for Department of Rural Development,50187,58666,67311,77369,86055,96060,105448,Rs crore,#2aa5bb
allocations_for_department_of_rural_development_as_percent_of_total_budget_expenditure,Allocations for Department of Rural Development as percent of Total Budget Expenditure,3.6,3.8,4,4.3,4.4,4.8,4.9,Percentage,#2aa5bb
mahatma_gandhi_national_rural_employment_guarantee_act,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),30273,32993,32969,37341,,47499,48000,Rs crore,#2aa5bb
national_rural_livelihood_mission,National Rural Livelihood Mission (NRLM),2195,2022,1413,2514,,3000,4500,Rs crore,#2aa5bb
pradhan_mantri_awaas_yojana_indira_awaas_yojna,Pradhan Mantri Awaas Yojana / Indira Awaas Yojna,7869,12981,11105,10116.2,,16000,23000,Rs crore,#2aa5bb
pradhan_mantri_gram_sadak_yojana,Pradhan Mantri Gram Sadak Yojana (PMGSY),3057,3978,5868,18290,,19000,19000,Rs crore,#2aa5bb
