slug_name,index_name,2012-13,2013-14,2014-15,2015-16(RE),2016-17(BE)
share_of_expenditure_on_food_subsidy_in_gdp,Share of Expenditure on Food Subsidy in GDP,0.85,0.82,0.94,1.03,0.9
share_of_food_subsidy_in_total_u.g._expenditure,Share of Food Subsidy in Total U.G. Expenditure,6.03,5.9,7.07,7.81,6.82
