slug_name,index_name,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2012-14,2014-15 RE,2015-16 BE
tax/gdp,Tax/GDP,13.9,14.4,15.0,15.6,16.9,17.6,16.5,15.2,16.1,16,16.4,15.8,16.2,16.6
tax_buoyancy,Tax Buoyancy,1.8,1.3,1.3,1.4,1.6,1.3,0.4,0.4,1.3,1,1.2,0.7,1.2,1.3
