slug_name,index_name,2012-13,2013-14,2014-15,2015-16,2016-17(BE),2016-17(RE),2017-18(BE),unit,color
schemes_for_educational_development_of_scs,Schemes for Educational Development of SCs,2649,2816,2670,3046,3647,3615,3863,Rs. Crore,#2aa5bb
pradhan_mantri_adarsh_gram_yojana,Pradhan Mantri Adarsh Gram Yojana,0,0,30,196,90,50,40,Rs. Crore,#2aa5bb
strengthening_of_machinery_for_enforcement_of_protection_of_civil_rights_act_and_prevention_of_atrocities_act,Strengthening of Machinery for Enforcement of Protection of Civil Rights Act 1995 and Prevention of Atrocities Act 1989,97,128,147,119,150,228,300,Rs. Crore,#2aa5bb
self_employment_scheme_for_rehabilitation_of_manual_scavengers,Self Employment Scheme for Rehabilitation of Manual Scavengers,20,35,0,0,10,1,5,Rs. Crore,#2aa5bb
special_central_assistance_to_scheduled_caste_sub_plan,Special Central Assistance to Scheduled Caste Sub plan,872,790,700,800,800,800,800,Rs. Crore,#2aa5bb
interventions_for_enterprenuerial_development_of_scs,Interventions for Enterprenuerial Development of Scs,0,0,662,170,255,249,243,Rs. Crore,#2aa5bb
other_programmes_of_the_department_of_social_justice_and_empowerment,Other programmes of the Department of Social Justice and Empowerment,41,57,117,163,187,188,196,Rs. Crore,#2aa5bb
