slug_name,index_name,2012-13,2013-14,2014-15 ,2015-16(BE),2015-16(RE),2016-17(BE),viz_type,unit,notes,insights
allocations_for_ministry_of_tribal_affairs,Allocations for Ministry of Tribal Affairs,,,3852.0,4819.0,4574.0,4827.0,,Rs crore,,
allocations_under_tribal_sub_plan(tsp),Allocations under Tribal Sub Plan(TSP),,,19921.0,19980.0,20980.0,24005.0,,Rs crore,,
sca_to_tsp,SCA to TSP,852.6,1050.0,1040.0,,1132.3,1250.0,,Rs crore,,
scheme_under_proviso_to_article_275(1)_of_the_constitution,Scheme under proviso to Article 275(1) of the Constitution,820,1097.1,1133.1,,1392.8,1400.0,,Rs crore,,
umbrella_scheme_for_development_of_sts:_vanbandhu_kalyan_yojana,Umbrella Scheme for Development of STs: Vanbandhu Kalyan Yojana,…,112.5,100.0,,143.0,504.8,,Rs crore,,
umbrella_scheme_for_education_of_st_children,Umbrella Scheme for Education of ST children,981.5,1213.3,1058.5,,1210.6,1505.2,,Rs crore,,
